-0.5 -0.5 0.1 0.1
0.32 0.30 0.28 0.26 0.24 0.24 0.24 0.26 0.28 0.30 0.32
0.30 0.27 0.24 0.22 0.20 0.19 0.20 0.22 0.24 0.27 0.30
0.28 0.24 0.21 0.18 0.16 0.15 0.16 0.18 0.21 0.24 0.28
0.26 0.22 0.18 0.14 0.11 0.10 0.11 0.14 0.18 0.22 0.26
0.24 0.20 0.16 0.11 0.07 0.05 0.07 0.11 0.16 0.20 0.24
0.24 0.19 0.15 0.10 0.05 0.00 0.05 0.10 0.15 0.19 0.24
0.24 0.20 0.16 0.11 0.07 0.05 0.07 0.11 0.16 0.20 0.24
0.26 0.22 0.18 0.14 0.11 0.10 0.11 0.14 0.18 0.22 0.26
0.28 0.24 0.21 0.18 0.16 0.15 0.16 0.18 0.21 0.24 0.28
0.30 0.27 0.24 0.22 0.20 0.19 0.20 0.22 0.24 0.27 0.30
0.32 0.30 0.28 0.26 0.24 0.24 0.24 0.26 0.28 0.30 0.32
